ranking,movie_name,name,score,adname,location,address,type,id,score_num
1,这个杀手不太冷,,9.4,,,,,,1297056
2,指环王3：王者无敌,,9.2,,,,,,409570
3,七武士,,9.2,,,,,,104191
4,蝙蝠侠：黑暗骑士,,9.1,,,,,,522863
5,搏击俱乐部,,9.0,,,,,,521706
6,指环王1：魔戒再现,,9.0,,,,,,431342
7,指环王2：双塔奇兵,,9.0,,,,,,384623
8,将军号,,9.0,,,,,,11510
9,V字仇杀队,,8.9,,,,,,603794
10,黑客帝国,,8.9,,,,,,409649
11,勇敢的心,,8.9,,,,,,374669
12,攻壳机动队,,8.9,,,,,,78936
13,用心棒,,8.9,,,,,,19359
14,谍影重重3,,8.8,,,,,,242809
15,纵横四海,,8.8,,,,,,213020
16,乱,,8.8,,,,,,45069
17,黑客帝国动画版,,8.8,,,,,,35430
18,蝙蝠侠：黑暗骑士归来(下),,8.8,,,,,,19549
19,桥,,8.8,,,,,,14214
20,攻壳机动队SSS,,8.8,,,,,,10948
21,让子弹飞,,8.7,,,,,,891554
22,头号玩家,,8.7,,,,,,770130
23,阿凡达,,8.7,,,,,,746570
24,加勒比海盗,,8.7,,,,,,491222
25,蝙蝠侠：黑暗骑士崛起,,8.7,,,,,,394223
26,蜘蛛侠：平行宇宙,,8.7,,,,,,326323
27,枪火,,8.7,,,,,,128798
28,东邪西毒：终极版,,8.7,,,,,,115702
29,极速风流,,8.7,,,,,,97152
30,精英部队2：大敌当前,,8.7,,,,,,53536
31,椿三十郎,,8.7,,,,,,11389
32,铁达尼号沉没记,,8.7,,,,,,5057
33,复仇者联盟4：终局之战,,8.6,,,,,,558669
34,超能陆战队,,8.6,,,,,,530413
35,东邪西毒,,8.6,,,,,,344994
36,被解救的姜戈,,8.6,,,,,,338929
37,疯狂的麦克斯4：狂暴之路,,8.6,,,,,,277252
38,英雄本色,,8.6,,,,,,258335
39,黑客帝国3：矩阵革命,,8.6,,,,,,212541
40,谍影重重2,,8.6,,,,,,209515
41,终结者2：审判日,,8.6,,,,,,189283
42,勇闯夺命岛,,8.6,,,,,,175567
43,黑鹰坠落,,8.6,,,,,,160179
44,恶童,,8.6,,,,,,53272
45,宾虚,,8.6,,,,,,22551
46,敲开天堂的门,,8.6,,,,,,10668
47,西线无战事,,8.6,,,,,,9462
48,大菩萨岭,,8.6,,,,,,6539
49,碧血金沙,,8.6,,,,,,4841
50,落叶,,8.6,,,,,,4544
51,我的英雄学院 第2季：英雄笔记,,8.6,,,,,,1104
52,滑铁卢战役,,8.6,,,,,,1049
53,小萝莉的猴神大叔,,8.5,,,,,,251073
54,谍影重重,,8.5,,,,,,249787
55,新龙门客栈,,8.5,,,,,,245118
56,黑客帝国2：重装上阵,,8.5,,,,,,187139
57,角斗士,,8.5,,,,,,144287
58,王牌对王牌,,8.5,,,,,,77073
59,启示,,8.5,,,,,,53413
