type,adname,location,name,address
风景名胜;风景名胜相关;旅游景点,双流区,"103.967400,30.320903",黄龙溪-川西民居文化长廊,黄龙溪古镇景区
风景名胜;风景名胜;风景名胜,彭州市,"103.846900,31.118403",海窝子,升平镇新兴镇中场(近丹景山)
风景名胜;风景名胜;风景名胜,都江堰市,"103.557978,30.845579",天国山,两河乡
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.332894,30.635834",洛带会馆建筑群川北会馆,洛带古镇景区内
风景名胜;风景名胜;纪念馆,彭州市,"104.034290,31.041370",尹昌衡故里,昌什路东150米
风景名胜;风景名胜;国家级景点,彭州市,"103.911942,31.188811",四川龙门山国家地质公园飞来峰景区,白鹿镇小夫路
风景名胜;风景名胜;风景名胜,新都区,"104.131382,30.779314",南丝绸之路起点景区,蓉都大道与蓉都大道天回路交叉口西100米
风景名胜;风景名胜;风景名胜,大邑县,"103.628078,30.506582",安仁古镇-安惠里古街,安仁镇安惠里古街
生活服务;丧葬设施;陵园,崇州市,"103.6654696,30.6496799",崇州市革命烈士陵园,棋盘村4组
风景名胜;风景名胜;风景名胜,龙泉驿区,"104.331332,30.636744",广东会馆,老街上街59号
风景名胜;风景名胜;纪念馆,青羊区,"104.052656,30.664234",宽窄巷子文物挖掘遗址-张采芹故居,宽巷子35号
风景名胜;风景名胜;纪念馆,邛崃市,"103.125608,30.308927",红军长征纪念馆,高何镇高兴村三组
风景名胜;风景名胜;国家级景点,都江堰市,"103.610529,31.003363",都江堰景区,公园路
风景名胜;风景名胜相关;旅游景点,双流区,"103.950798,30.493271",古井亭,升平街与黄甲大道交叉口东50米
购物服务;专卖店;专营店|生活服务;生活服务场所;生活服务场所,双流区,"104.045368,30.515167",峨眉山龙门洞(河池路),和平路二街与河池路交叉口西50米
风景名胜;风景名胜;寺庙道观,青羊区,"104.074379,30.672084",爱道堂,通顺桥街通顺桥34号
风景名胜;风景名胜;省级景点,邛崃市,"103.466085,30.416018",临邛古城,大北街与步行街交叉口西100米
风景名胜;风景名胜;纪念馆,青羊区,"104.056204,30.657187",四川保路运动史事陈列馆,小南街附近
风景名胜;风景名胜;纪念馆,锦江区,"104.124768,30.619106",李劼人故居,外东沙河堡菱窠西路70号(川师大北门附近)
风景名胜;风景名胜;风景名胜,都江堰市,"103.572616,30.913708",青城山-圆明宫,灌县西南的青城山中木鱼山上
风景名胜;风景名胜;寺庙道观,成华区,"104.110738,30.712412",仁守魁道祖师墓,东丽街138号金科一城附近
风景名胜;风景名胜;风景名胜,青羊区,"104.026939,30.660055",杜甫草堂-诗史堂,草堂路28号成都杜甫草堂博物馆内
风景名胜;风景名胜;风景名胜,武侯区,"104.092315,30.631714",望江楼公园-薛涛墓,望江路30号
风景名胜;风景名胜;寺庙道观,温江区,"103.865849,30.712105",大乘院,天乡路一段
风景名胜;风景名胜;风景名胜,彭州市,"103.931160,31.145387",冰川瀑布,葛仙山镇熙玉村
生活服务;丧葬设施;陵园,双流区,"104.024780,30.359490",天府新区烈士陵园,天府新区煎茶街道沿溪村3组
风景名胜;风景名胜;风景名胜,青羊区,"104.072980,30.675013",文殊院-玉佛殿,文殊院街66号文殊院内
风景名胜;风景名胜;风景名胜,都江堰市,"103.615928,30.997528",都江堰景区-明城墙,南街69附近
体育休闲服务;娱乐场所;娱乐场所,武侯区,"103.987174,30.586479",浓园艺术村,蔟桥武侯大道新苗村5组
风景名胜;风景名胜;风景名胜,青羊区,"104.072918,30.674824",文殊院-圆通殿,文殊院街66号文殊院内
风景名胜;风景名胜;风景名胜,青羊区,"104.041472,30.660578",文化公园-混元殿,一环路西二段9号青羊宫内
风景名胜;风景名胜;风景名胜,简阳市,"104.682036,30.540480",玉皇观,一四三乡道
风景名胜;风景名胜;风景名胜,彭州市,"103.769045,31.184216",小渔洞大桥遗址,小渔洞镇彭白路小鱼洞大桥遗址
风景名胜;风景名胜;风景名胜,蒲江县,"103.510905,30.198078",蒲江县东门桥,桫椤路中段与河滨南路交叉口西50米
风景名胜;风景名胜;风景名胜,武侯区,"104.049444,30.644462",三国圣地,武侯祠大街231号成都武侯祠博物馆内
风景名胜;风景名胜相关;旅游景点,郫都区,"103.824245,30.925692",大椿巷,西街与小北街交汇处东50米
风景名胜;风景名胜;风景名胜,都江堰市,"103.610739,31.004383",都江堰景区-5·12地震遗迹,离堆公园路都江堰景区内
购物服务;专卖店;专营店,龙泉驿区,"104.324072,30.638986",夏布文化体验馆,洛带古镇景区
风景名胜;风景名胜;风景名胜,简阳市,"104.703534,30.342375",玉皇观,一零一乡道
风景名胜;风景名胜;风景名胜,金堂县,"104.487599,30.736875",云顶山-遗址,023乡道西50米
风景名胜;风景名胜相关;旅游景点,都江堰市,"103.589331,30.988657",杜鹃城遗址,县城以北一里许
风景名胜;风景名胜;风景名胜,都江堰市,"103.609922,30.976436",西蜀财神第一塔,玉沿路与N17县道交叉口西150米
科教文化服务;博物馆;博物馆|商务住宅;产业园区;产业园区,温江区,"103.931485,30.724314",芙蓉长卷药博园,芙蓉大道与永宁大道交汇处东侧400米
